date,experiment_name,sample_name,replication,batch_sample_number,air_dry_specimen_mass_for_test,comments
2021-04-13,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,,-
2021-04-13,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,,-
2021-04-13,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,,-
