date,experiment_name,sample_name,replication,batch_sample_number,protocol_ID,comments
2021-04-13,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,3,-
2021-04-13,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,3,-
2021-04-13,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,3,-
