date,experiment_name,sample_name,replication,batch_sample_number,air_dry_specimen_mass_for_test,comments
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,10.027,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,9.962,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,10.063,-
,,,,,,
