water_temp_c,water_absolute_viscosity_poises,water_density_kgm3,water_density_Mg_m3
22.1,9525165.526,997.7510335,0.997751033
22.2,9502657.726,997.728328,0.997728328
22.3,9480231.968,997.7055235,0.997705523
22.4,9457887.866,997.68262,0.99768262
22.5,9435625.036,997.6596175,0.997659617
22.6,9413443.097,997.636516,0.997636516
22.7,9391341.671,997.6133155,0.997613315
22.8,9369320.38,997.590016,0.997590016
22.9,9347378.851,997.5666175,0.997566617
23,9325516.709,997.54312,0.99754312
23.1,9303733.585,997.5195235,0.997519523
23.2,9282029.111,997.495828,0.997495828
23.3,9260402.919,997.4720335,0.997472033
23.4,9238854.647,997.44814,0.99744814
23.5,9217383.931,997.4241475,0.997424147
23.6,9195990.412,997.400056,0.997400056
23.7,9174673.731,997.3758655,0.997375865
23.8,9153433.532,997.351576,0.997351576
23.9,9132269.462,997.3271875,0.997327187
24,9111181.167,997.3027,0.9973027
24.1,9090168.298,997.2781135,0.997278113
24.2,9069230.507,997.253428,0.997253428
24.3,9048367.447,997.2286435,0.997228644
24.4,9027578.773,997.20376,0.99720376
24.5,9006864.145,997.1787775,0.997178778
24.6,8986223.22,997.153696,0.997153696
24.7,8965655.661,997.1285155,0.997128516
24.8,8945161.13,997.103236,0.997103236
24.9,8924739.293,997.0778575,0.997077858
25,8904389.816,997.05238,0.99705238
25.1,8884112.369,997.0268035,0.997026804
25.2,8863906.622,997.001128,0.997001128
25.3,8843772.248,996.9753535,0.996975354
25.4,8823708.921,996.94948,0.99694948
25.5,8803716.317,996.9235075,0.996923507
25.6,8783794.114,996.897436,0.996897436
25.7,8763941.991,996.8712655,0.996871265
25.8,8744159.63,996.844996,0.996844996
25.9,8724446.715,996.8186275,0.996818627
26,8704802.929,996.79216,0.99679216
26.1,8685227.96,996.7655935,0.996765593
26.2,8665721.496,996.738928,0.996738928
26.3,8646283.227,996.7121635,0.996712163
26.4,8626912.845,996.6853,0.9966853
26.5,8607610.044,996.6583375,0.996658337
26.6,8588374.518,996.631276,0.996631276
26.7,8569205.964,996.6041155,0.996604115
26.8,8550104.08,996.576856,0.996576856
26.9,8531068.568,996.5494975,0.996549497
27,8512099.128,996.52204,0.99652204
27.1,8493195.464,996.4944835,0.996494483
27.2,8474357.28,996.466828,0.996466828
27.3,8455584.284,996.4390735,0.996439074
27.4,8436876.183,996.41122,0.99641122
27.5,8418232.688,996.3832675,0.996383268
27.6,8399653.509,996.355216,0.996355216
27.7,8381138.36,996.3270655,0.996327065
27.8,8362686.954,996.298816,0.996298816
27.9,8344299.008,996.2704675,0.996270467
28,8325974.239,996.24202,0.99624202
28.1,8307712.367,996.2134735,0.996213474
28.2,8289513.112,996.184828,0.996184828
28.3,8271376.195,996.1560835,0.996156084
28.4,8253301.341,996.12724,0.99612724
28.5,8235288.274,996.0982975,0.996098297
28.6,8217336.721,996.069256,0.996069256
28.7,8199446.41,996.0401155,0.996040115
28.8,8181617.07,996.010876,0.996010876
28.9,8163848.433,995.9815375,0.995981537
29,8146140.229,995.9521,0.9959521
29.1,8128492.195,995.9225635,0.995922563
29.2,8110904.063,995.892928,0.995892928
29.3,8093375.571,995.8631935,0.995863193
29.4,8075906.458,995.83336,0.99583336
29.5,8058496.461,995.8034275,0.995803427
29.6,8041145.323,995.773396,0.995773396
29.7,8023852.784,995.7432655,0.995743265
29.8,8006618.59,995.713036,0.995713036
29.9,7989442.484,995.6827075,0.995682707
30,7972324.212,995.65228,0.99565228
30.1,7955263.523,995.6217535,0.995621753
30.2,7938260.165,995.591128,0.995591128
30.3,7921313.889,995.5604035,0.995560404
30.4,7904424.446,995.52958,0.99552958
30.5,7887591.588,995.4986575,0.995498658
30.6,7870815.071,995.467636,0.995467636
30.7,7854094.648,995.4365155,0.995436516
30.8,7837430.078,995.405296,0.995405296
30.9,7820821.119,995.3739775,0.995373978
31,7804267.528,995.34256,0.99534256
31.1,7787769.068,995.3110435,0.995311044
31.2,7771325.5,995.279428,0.995279428
31.3,7754936.587,995.2477135,0.995247714
31.4,7738602.092,995.2159,0.9952159
31.5,7722321.783,995.1839875,0.995183987
31.6,7706095.425,995.151976,0.995151976
31.7,7689922.787,995.1198655,0.995119865
31.8,7673803.637,995.087656,0.995087656
31.9,7657737.746,995.0553475,0.995055347
32,7641724.886,995.02294,0.99502294
32.1,7625764.83,994.9904335,0.994990433
32.2,7609857.35,994.957828,0.994957828
32.3,7594002.224,994.9251235,0.994925123
32.4,7578199.226,994.89232,0.99489232
32.5,7562448.134,994.8594175,0.994859417
32.6,7546748.727,994.826416,0.994826416
32.7,7531100.785,994.7933155,0.994793315
32.8,7515504.089,994.760116,0.994760116
32.9,7499958.42,994.7268175,0.994726817
33,7484463.561,994.69342,0.99469342
33.1,7469019.298,994.6599235,0.994659923
33.2,7453625.415,994.626328,0.994626328
33.3,7438281.699,994.5926335,0.994592634
33.4,7422987.937,994.55884,0.99455884
33.5,7407743.919,994.5249475,0.994524948
33.6,7392549.433,994.490956,0.994490956
33.7,7377404.271,994.4568655,0.994456866
33.8,7362308.225,994.422676,0.994422676
33.9,7347261.087,994.3883875,0.994388388
34,7332262.652,994.354,0.994354
34.1,7317312.714,994.3195135,0.994319513
34.2,7302411.071,994.284928,0.994284928
34.3,7287557.518,994.2502435,0.994250243
34.4,7272751.855,994.21546,0.99421546
34.5,7257993.881,994.1805775,0.994180577
34.6,7243283.395,994.145596,0.994145596
34.7,7228620.199,994.1105155,0.994110516
34.8,7214004.096,994.075336,0.994075336
34.9,7199434.888,994.0400575,0.994040057
35,7184912.38,994.00468,0.99400468
35.1,7170436.378,993.9692035,0.993969203
35.2,7156006.686,993.933628,0.993933628
35.3,7141623.114,993.8979535,0.993897953
35.4,7127285.469,993.86218,0.99386218
35.5,7112993.56,993.8263075,0.993826307
35.6,7098747.197,993.790336,0.993790336
35.7,7084546.192,993.7542655,0.993754265
35.8,7070390.356,993.718096,0.993718096
35.9,7056279.503,993.6818275,0.993681827
36,7042213.446,993.64546,0.99364546
36.1,7028192.001,993.6089935,0.993608993
36.2,7014214.982,993.572428,0.993572428
36.3,7000282.208,993.5357635,0.993535764
36.4,6986393.496,993.499,0.993499
36.5,6972548.663,993.4621375,0.993462138
36.6,6958747.531,993.425176,0.993425176
36.7,6944989.918,993.3881155,0.993388116
36.8,6931275.647,993.350956,0.993350956
36.9,6917604.539,993.3136975,0.993313698
37,6903976.418,993.27634,0.99327634
37.1,6890391.107,993.2388835,0.993238884
37.2,6876848.432,993.201328,0.993201328
37.3,6863348.217,993.1636735,0.993163673
37.4,6849890.291,993.12592,0.99312592
37.5,6836474.479,993.0880675,0.993088067
37.6,6823100.611,993.050116,0.993050116
37.7,6809768.515,993.0120655,0.993012065
37.8,6796478.022,992.973916,0.992973916
37.9,6783228.962,992.9356675,0.992935668
38,6770021.166,992.89732,0.99289732
38.1,6756854.468,992.8588735,0.992858873
38.2,6743728.701,992.820328,0.992820328
38.3,6730643.699,992.7816835,0.992781683
38.4,6717599.296,992.74294,0.99274294
38.5,6704595.329,992.7040975,0.992704097
38.6,6691631.634,992.665156,0.992665156
38.7,6678708.049,992.6261155,0.992626115
38.8,6665824.411,992.586976,0.992586976
38.9,6652980.56,992.5477375,0.992547737
39,6640176.335,992.5084,0.9925084
39.1,6627411.577,992.4689635,0.992468963
39.2,6614686.128,992.429428,0.992429428
39.3,6601999.829,992.3897935,0.992389794
39.4,6589352.523,992.35006,0.99235006
39.5,6576744.054,992.3102275,0.992310228
39.6,6564174.266,992.270296,0.992270296
39.7,6551643.005,992.2302655,0.992230266
39.8,6539150.117,992.190136,0.992190136
39.9,6526695.447,992.1499075,0.992149907
40,6514278.844,992.10958,0.99210958
40.1,6501900.155,992.0691535,0.992069153
40.2,6489559.23,992.028628,0.992028628
40.3,6477255.918,991.9880035,0.991988003
40.4,6464990.07,991.94728,0.99194728
40.5,6452761.536,991.9064575,0.991906458
40.6,6440570.168,991.865536,0.991865536
40.7,6428415.82,991.8245155,0.991824516
40.8,6416298.343,991.783396,0.991783396
40.9,6404217.593,991.7421775,0.991742177
41,6392173.424,991.70086,0.99170086
41.1,6380165.69,991.6594435,0.991659443
41.2,6368194.249,991.617928,0.991617928
41.3,6356258.956,991.5763135,0.991576313
41.4,6344359.67,991.5346,0.9915346
41.5,6332496.248,991.4927875,0.991492787
41.6,6320668.549,991.450876,0.991450876
41.7,6308876.432,991.4088655,0.991408865
41.8,6297119.759,991.366756,0.991366756
41.9,6285398.389,991.3245475,0.991324547
42,6273712.184,991.28224,0.99128224
42.1,6262061.006,991.2398335,0.991239833
42.2,6250444.719,991.197328,0.991197328
42.3,6238863.184,991.1547235,0.991154724
42.4,6227316.267,991.11202,0.99111202
42.5,6215803.833,991.0692175,0.991069218
42.6,6204325.746,991.026316,0.991026316
42.7,6192881.873,990.9833155,0.990983316
42.8,6181472.08,990.940216,0.990940216
42.9,6170096.234,990.8970175,0.990897018
43,6158754.205,990.85372,0.99085372
43.1,6147445.859,990.8103235,0.990810324
43.2,6136171.067,990.766828,0.990766828
43.3,6124929.698,990.7232335,0.990723233
43.4,6113721.622,990.67954,0.99067954
43.5,6102546.711,990.6357475,0.990635747
43.6,6091404.836,990.591856,0.990591856
43.7,6080295.87,990.5478655,0.990547866
43.8,6069219.685,990.503776,0.990503776
43.9,6058176.154,990.4595875,0.990459588
44,6047165.153,990.4153,0.9904153
44.1,6036186.555,990.3709135,0.990370913
44.2,6025240.235,990.326428,0.990326428
44.3,6014326.07,990.2818435,0.990281843
44.4,6003443.935,990.23716,0.99023716
44.5,5992593.709,990.1923775,0.990192377
44.6,5981775.268,990.147496,0.990147496
44.7,5970988.49,990.1025155,0.990102516
44.8,5960233.254,990.057436,0.990057436
44.9,5949509.44,990.0122575,0.990012258
45,5938816.927,989.96698,0.98996698
45.1,5928155.595,989.9216035,0.989921603
45.2,5917525.326,989.876128,0.989876128
45.3,5906926.001,989.8305535,0.989830553
45.4,5896357.502,989.78488,0.98978488
45.5,5885819.712,989.7391075,0.989739107
45.6,5875312.513,989.693236,0.989693236
45.7,5864835.79,989.6472655,0.989647265
45.8,5854389.426,989.601196,0.989601196
45.9,5843973.307,989.5550275,0.989555027
46,5833587.318,989.50876,0.98950876
46.1,5823231.344,989.4623935,0.989462394
46.2,5812905.272,989.415928,0.989415928
46.3,5802608.989,989.3693635,0.989369363
46.4,5792342.382,989.3227,0.9893227
46.5,5782105.339,989.2759375,0.989275938
46.6,5771897.748,989.229076,0.989229076
46.7,5761719.499,989.1821155,0.989182115
46.8,5751570.481,989.135056,0.989135056
46.9,5741450.583,989.0878975,0.989087897
47,5731359.697,989.04064,0.98904064
47.1,5721297.714,988.9932835,0.988993283
47.2,5711264.524,988.945828,0.988945828
47.3,5701260.019,988.8982735,0.988898273
47.4,5691284.093,988.85062,0.98885062
47.5,5681336.638,988.8028675,0.988802867
47.6,5671417.548,988.755016,0.988755016
47.7,5661526.716,988.7070655,0.988707066
47.8,5651664.037,988.659016,0.988659016
47.9,5641829.406,988.6108675,0.988610867
48,5632022.718,988.56262,0.98856262
48.1,5622243.869,988.5142735,0.988514274
48.2,5612492.756,988.465828,0.988465828
48.3,5602769.275,988.4172835,0.988417283
48.4,5593073.323,988.36864,0.98836864
48.5,5583404.799,988.3198975,0.988319897
48.6,5573763.599,988.271056,0.988271056
48.7,5564149.624,988.2221155,0.988222115
48.8,5554562.772,988.173076,0.988173076
48.9,5545002.943,988.1239375,0.988123937
49,5535470.037,988.0747,0.9880747
49.1,5525963.954,988.0253635,0.988025363
49.2,5516484.595,987.975928,0.987975928
49.3,5507031.861,987.9263935,0.987926394
49.4,5497605.655,987.87676,0.98787676
49.5,5488205.879,987.8270275,0.987827028
49.6,5478832.435,987.777196,0.987777196
49.7,5469485.227,987.7272655,0.987727265
49.8,5460164.157,987.677236,0.987677236
49.9,5450869.131,987.6271075,0.987627107
50,5441600.052,987.57688,0.98757688
50.1,5432356.826,987.5265535,0.987526553
50.2,5423139.357,987.476128,0.987476128
50.3,5413947.552,987.4256035,0.987425603
50.4,5404781.316,987.37498,0.98737498
50.5,5395640.556,987.3242575,0.987324257
50.6,5386525.18,987.273436,0.987273436
50.7,5377435.094,987.2225155,0.987222516
50.8,5368370.206,987.171496,0.987171496
50.9,5359330.425,987.1203775,0.987120377
51,5350315.658,987.06916,0.98706916
51.1,5341325.816,987.0178435,0.987017843
51.2,5332360.808,986.966428,0.986966428
51.3,5323420.543,986.9149135,0.986914913
51.4,5314504.932,986.8633,0.9868633
51.5,5305613.885,986.8115875,0.986811587
51.6,5296747.313,986.759776,0.986759776
51.7,5287905.128,986.7078655,0.986707865
51.8,5279087.242,986.655856,0.986655856
51.9,5270293.566,986.6037475,0.986603747
52,5261524.014,986.55154,0.98655154
52.1,5252778.498,986.4992335,0.986499234
52.2,5244056.932,986.446828,0.986446828
52.3,5235359.229,986.3943235,0.986394324
52.4,5226685.304,986.34172,0.98634172
52.5,5218035.071,986.2890175,0.986289018
52.6,5209408.445,986.236216,0.986236216
52.7,5200805.342,986.1833155,0.986183315
52.8,5192225.676,986.130316,0.986130316
52.9,5183669.364,986.0772175,0.986077217
53,5175136.322,986.02402,0.98602402
53.1,5166626.468,985.9707235,0.985970723
53.2,5158139.717,985.917328,0.985917328
53.3,5149675.988,985.8638335,0.985863833
53.4,5141235.198,985.81024,0.98581024
53.5,5132817.266,985.7565475,0.985756547
53.6,5124422.109,985.702756,0.985702756
53.7,5116049.648,985.6488655,0.985648866
53.8,5107699.801,985.594876,0.985594876
53.9,5099372.487,985.5407875,0.985540788
54,5091067.628,985.4866,0.9854866
54.1,5082785.142,985.4323135,0.985432313
54.2,5074524.951,985.377928,0.985377928
54.3,5066286.976,985.3234435,0.985323443
54.4,5058071.138,985.26886,0.98526886
54.5,5049877.358,985.2141775,0.985214178
54.6,5041705.559,985.159396,0.985159396
54.7,5033555.663,985.1045155,0.985104515
54.8,5025427.592,985.049536,0.985049536
54.9,5017321.271,984.9944575,0.984994457
55,5009236.621,984.93928,0.98493928
55.1,5001173.567,984.8840035,0.984884003
55.2,4993132.033,984.828628,0.984828628
55.3,4985111.943,984.7731535,0.984773153
55.4,4977113.221,984.71758,0.98471758
55.5,4969135.793,984.6619075,0.984661907
55.6,4961179.584,984.606136,0.984606136
55.7,4953244.52,984.5502655,0.984550265
55.8,4945330.527,984.494296,0.984494296
55.9,4937437.53,984.4382275,0.984438227
56,4929565.456,984.38206,0.98438206
56.1,4921714.233,984.3257935,0.984325793
56.2,4913883.788,984.269428,0.984269428
56.3,4906074.047,984.2129635,0.984212963
56.4,4898284.939,984.1564,0.9841564
56.5,4890516.393,984.0997375,0.984099737
56.6,4882768.335,984.042976,0.984042976
56.7,4875040.696,983.9861155,0.983986115
56.8,4867333.404,983.929156,0.983929156
56.9,4859646.389,983.8720975,0.983872097
57,4851979.58,983.81494,0.98381494
57.1,4844332.907,983.7576835,0.983757683
57.2,4836706.301,983.700328,0.983700328
