date,experiment_name,sample_name,replication,batch_sample_number,air_dry_specimen_mass_for_test,comments
2021-03-04,SelectingClaysJan2020,leecom-promound-jan-2018,1,1,9.224,-
2021-03-04,SelectingClaysJan2020,leecom-promound-jan-2018,2,2,9.249,-
2021-03-04,SelectingClaysJan2020,leecom-promound-jan-2018,3,3,9.396,-
